CC1PCT,CC2PCT,CC3PCT
5,15,8
88,0,0
97,0,0
34,4,6
14,30,32
43,0,0
11,0,0
43,0,0
51,0,0
69,0,0
19,27,29
44,14,19
80,0,0
55,14,15
91,0,0
60,0,0
99,0,0
56,7,27
79,1,2
22,8,2
15,22,6
32,36,11
80,6,4
5,68,10
38,29,12
74,74,23
19,41,2
84,84,16
22,72,22
1,62,32
5,45,11
76,76,18
8,56,31
5,67,28
11,49,14
24,59,4
6,80,6
11,68,11
11,36,1
1,75,9
1,57,38
3,19,7
19,66,0
43,14,4
39,24,32
30,31,0
62,20,1
72,4,72
82,7,10
76,8,2
80,9,80
65,4,6
74,10,74
79,2,13
76,12,12
61,15,1
76,6,14
16,9,0
51,4,51
74,6,1
59,19,20
61,14,61
67,13,7
46,28,46
60,16,17
44,22,33
65,23,65
66,33,66
80,0,0
19,31,43
52,0,2
37,57,37
75,10,15
58,16,58
67,29,67
62,31,62
36,23,8
53,17,24
71,9,20
63,36,63
39,25,26
32,13,5
65,31,65
59,13,26
94,0,0
81,0,0
94,0,0
68,25,68
55,23,55
32,19,29
83,15,83
100,0,0
72,22,72
99,0,0
80,19,80
60,4,8
70,30,70
39,12,6
70,0,0
64,30,64
52,0,0
68,32,68
55,38,55
40,18,36
23,64,23
1,77,16
2,78,16
0,68,30
2,70,19
30,21,27
34,18,32
30,53,30
35,50,35
3,60,34
62,14,9
41,25,26
5,72,14
2,51,38
7,53,38
11,75,11
9,73,13
21,28,50
2,77,18
12,74,12
80,80,18
6,65,3
4,91,5
69,69,31
1,65,10
74,74,24
17,55,2
76,76,22
79,79,20
61,11,8
9,70,1
0,70,27
15,57,18
85,85,4
14,36,35
77,77,19
1,79,10
73,73,26
27,40,30
63,63,34
0,9,4
38,7,0
0,79,21
7,7,1
22,20,7
52,52,46
0,59,41
61,61,39
2,83,15
0,78,0
17,22,7
28,51,7
49,50,49
32,12,4
2,55,28
22,3,5
15,68,15
4,56,30
27,28,29
2,68,22
7,59,12
0,53,27
1,58,22
17,54,12
39,17,40
8,44,27
1,46,22
2,81,2
5,30,29
76,76,6
37,21,0
47,14,34
13,30,43
34,8,0
19,40,18
0,63,29
32,21,0
2,0,5
7,52,11
25,36,20
27,27,20
2,56,22
3,65,19
26,54,2
36,2,0
80,80,12
33,37,10
13,41,7
22,47,11
4,0,17
19,21,1
10,57,30
66,4,0
42,20,31
29,19,9
34,24,20
2,66,16
17,37,6
52,15,1
15,7,5
42,18,0
6,0,0
31,16,13
6,37,6
2,67,30
20,26,1
5,59,13
1,1,0
53,26,14
14,1,0
5,2,28
11,26,20
67,3,0
23,42,15
17,44,24
9,32,9
81,7,13
2,59,33
38,57,2
14,14,0
13,68,13
27,61,8
14,38,9
7,21,3
17,25,17
1,16,1
2,71,26
14,40,15
2,84,15
23,4,2
36,43,20
4,50,30
7,65,16
16,8,2
74,74,22
67,67,33
57,57,40
50,29,0
46,22,18
21,41,1
19,33,37
65,65,34
29,47,9
15,5,1
0,37,42
45,17,20
50,14,6
6,47,20
23,4,1
46,42,0
16,56,22
25,24,36
49,15,0
16,66,12
31,37,26
5,76,13
1,5,0
1,59,11
47,3,0
3,75,1
53,19,11
4,36,14
92,92,6
15,37,12
4,26,13
2,38,6
13,21,11
1,85,0
6,13,12
69,27,1
74,74,5
1,0,1
9,65,26
9,25,23
2,56,2
70,70,24
44,16,1
47,6,0
0,68,26
20,1,0
53,17,8
9,70,9
26,46,27
3,71,22
1,5,23
22,19,9
51,51,43
18,61,16
5,60,25
0,25,3
7,59,32
49,49,22
44,16,8
63,63,10
73,73,27
19,27,10
60,60,30
19,67,19
1,52,9
28,28,4
57,5,1
23,51,10
2,82,16
54,30,10
2,70,28
13,54,26
45,15,29
76,76,23
51,26,20
71,15,11
48,6,4
61,61,39
77,6,18
4,37,19
1,42,5
6,7,1
41,14,2
54,54,30
11,37,14
11,32,36
33,12,2
0,37,27
1,20,2
64,18,6
33,0,0
1,38,58
41,27,17
40,27,4
1,30,9
16,26,10
34,27,22
60,11,11
52,2,0
62,62,24
12,60,22
68,68,32
28,0,0
20,6,2
30,23,11
15,25,10
0,7,6
77,77,20
39,24,4
66,21,5
50,14,13
11,41,22
80,4,8
30,7,0
92,92,8
85,85,15
2,70,10
57,57,24
59,10,0
45,22,1
58,27,9
13,17,12
64,0,0
17,65,17
76,12,9
31,0,0
45,36,17
46,24,5
35,32,9
30,13,0
40,22,20
67,7,4
11,39,9
58,13,19
46,51,46
49,21,1
11,31,19
93,2,0
27,67,27
59,14,0
43,14,1
58,2,0
31,37,11
56,11,6
63,29,63
35,1,0
45,3,0
27,34,0
43,3,0
18,48,27
37,40,7
30,18,0
4,26,12
46,19,5
26,6,1
1,41,5
1,0,0
37,2,0
60,9,0
6,34,7
9,31,23
32,18,19
6,55,2
11,0,8
11,29,0
67,67,33
1,51,20
19,18,3
35,25,6
21,19,20
75,75,25
2,52,27
4,33,16
63,32,63
1,50,15
39,15,45
0,0,0
53,16,14
61,6,0
75,75,25
62,26,10
84,0,0
10,10,0
67,24,8
1,42,37
70,70,30
3,3,0
20,20,0
30,25,18
73,0,0
7,31,0
11,34,8
11,21,2
63,63,36
1,61,36
2,30,2
48,48,48
24,27,8
36,23,6
28,21,12
16,52,3
64,6,0
5,19,6
43,26,24
29,29,12
60,12,12
2,68,10
5,62,4
66,66,22
44,25,0
1,54,42
56,10,0
80,80,20
52,1,0
1,87,9
74,4,1
12,48,40
80,0,0
26,24,31
46,31,1
1,57,40
65,65,35
0,65,7
10,39,50
11,43,5
100,0,0
40,35,5
3,45,14
68,0,0
31,18,5
4,71,4
80,80,20
81,0,0
22,34,7
61,61,38
6,50,45
91,1,0
2,44,54
40,38,13
3,64,30
92,8,0
98,0,0
20,3,0
3,71,12
36,40,9
11,62,8
81,7,0
53,19,13
50,31,0
19,30,7
8,42,16
2,0,0
51,13,10
14,5,1
